episode,timestep,reward
4,2000,-565.489
7,4000,-638.5169
11,6000,-723.0122
15,8000,-457.442
18,10000,-635.2294
22,12000,-573.8152
26,14000,-433.8491
29,16000,-527.7943
33,18000,-623.8311
36,20000,-645.8178
39,22000,-564.6305
42,24000,-637.8846
45,26000,-773.3253
49,28000,-455.4827
52,30000,-523.8718
55,32000,-346.9882
59,34000,-397.1675
62,36000,-370.4582
66,38000,-319.0591
70,40000,-504.087
73,42000,-402.8347
77,44000,-344.2497
83,46000,-355.8666
88,48000,-289.3329
94,50000,-361.4964
101,52000,-409.748
