episode,timestep,reward
1,1000,-633.6564
3,2000,-738.3166
5,3000,-457.7003
7,4000,-331.3709
8,5000,-693.415
10,6000,-569.9409
11,7000,-865.144
14,8000,-545.377
15,9000,-605.5769
17,10000,-868.7166
19,11000,-726.2978
21,12000,-843.2118
22,13000,-1363.5381
24,14000,-1246.4763
26,15000,-800.3807
28,16000,-1235.384
29,17000,-1048.4357
31,18000,-2447.8122
32,19000,-1098.3748
34,20000,-1203.4637
36,21000,-968.9327
38,22000,-817.0176
40,23000,-1450.6233
41,24000,-709.9851
43,25000,-1134.2676
45,26000,-590.278
47,27000,-261.9387
48,28000,-417.3915
50,29000,-321.9737
51,30000,-524.1454
53,31000,-349.6925
55,32000,-326.6406
57,33000,-333.9471
59,34000,-283.4743
61,35000,-305.354
62,36000,-297.0863
64,37000,-395.5479
66,38000,-263.1755
68,39000,-308.5555
70,40000,-284.4235
71,41000,-281.9859
73,42000,-301.219
75,43000,-345.8045
77,44000,-288.6148
79,45000,-245.5023
81,46000,-233.8976
83,47000,-232.8723
85,48000,-298.7782
87,49000,-315.2608
89,50000,-311.6986
91,51000,-348.6298
93,52000,-349.4115
95,53000,-336.255
97,54000,-258.1459
99,55000,-270.8066
100,56000,-266.7286
102,57000,-353.9375
104,58000,-315.5097
105,59000,-219.9894
107,60000,-334.9759
109,61000,-268.6119
111,62000,-288.9477
113,63000,-373.2072
115,64000,-379.8042
117,65000,-270.2382
118,66000,-281.0308
120,67000,-336.049
122,68000,-603.8734
123,69000,-307.7045
125,70000,-403.2866
127,71000,-390.8696
129,72000,-1076.7382
131,73000,-472.3757
133,74000,-783.5946
135,75000,-512.6563
136,76000,-583.7649
138,77000,-601.8449
