episode,timestep,reward
4,1000,-54.3504
9,2000,-41.2918
14,3000,-42.7749
19,4000,-44.2088
24,5000,-49.263
29,6000,-37.8166
33,7000,-47.7136
38,8000,-37.5896
43,9000,-45.4768
48,10000,-45.9491
54,11000,-36.8693
59,12000,-37.2508
64,13000,-43.4185
70,14000,-42.9971
74,15000,-37.0981
79,16000,-41.614
84,17000,-39.6712
90,18000,-37.8927
95,19000,-40.6369
100,20000,-39.0394
105,21000,-39.5467
110,22000,-41.0042
115,23000,-41.38
121,24000,-35.651
126,25000,-36.6389
131,26000,-49.7827
137,27000,-37.7229
142,28000,-40.6477
147,29000,-36.8029
152,30000,-42.971
157,31000,-36.6463
162,32000,-39.6558
167,33000,-42.8334
172,34000,-78.6547
178,35000,-38.3504
184,36000,-100.9853
189,37000,-44.7915
194,38000,-78.1424
199,39000,-78.2268
