episode,timestep,reward
1,2000,-1486.7765
3,4000,-2498.392
5,6000,-2314.1169
7,8000,-1714.5081
9,10000,-1909.1982
11,12000,-973.702
12,14000,-971.6722
14,16000,-1027.2431
16,18000,-742.8039
18,20000,-867.2825
20,22000,-876.27
21,24000,-944.4738
23,26000,-879.9118
25,28000,-881.9869
27,30000,-773.2933
29,32000,-1091.0112
31,34000,-873.7079
32,36000,-645.149
34,38000,-1014.1765
36,40000,-913.0954
38,42000,-737.464
40,44000,-871.882
41,46000,-1146.3314
43,48000,-895.2793
45,50000,-924.0106
47,52000,-992.6085
49,54000,-981.9041
50,56000,-852.5483
52,58000,-818.8661
54,60000,-707.3017
56,62000,-775.711
58,64000,-913.9723
60,66000,-823.5861
61,68000,-902.5651
63,70000,-819.5539
65,72000,-802.1002
67,74000,-783.2638
69,76000,-784.3568
70,78000,-1017.6554
72,80000,-1198.2983
74,82000,-1107.4875
78,84000,-925.4891
83,86000,-886.9578
89,88000,-774.0858
93,90000,-848.2811
96,92000,-834.0248
98,94000,-1020.1634
104,96000,-819.7927
109,98000,-802.0762
