episode,timestep,reward
2,2000,-2818.7829
4,4000,-2645.3902
6,6000,-1860.5645
9,8000,-2563.9915
11,10000,-2480.7527
13,12000,-2324.74
16,14000,-3210.772
18,16000,-2220.9802
20,18000,-2249.4346
23,20000,-3468.1941
25,22000,-2637.5969
27,24000,-3127.5337
29,26000,-2991.5949
32,28000,-2936.6858
34,30000,-2939.6196
36,32000,-3980.9272
38,34000,-3706.7949
40,36000,-3681.1957
43,38000,-3856.4643
45,40000,-3582.8121
47,42000,-2705.349
50,44000,-2804.9674
52,46000,-4067.2365
54,48000,-3723.6562
57,50000,-2410.8198
59,52000,-3325.0871
61,54000,-3175.4252
64,56000,-2367.8791
65,58000,-3460.3237
68,60000,-2764.6526
70,62000,-4215.2801
72,64000,-3501.0831
75,66000,-3017.9928
77,68000,-2433.4518
