episode,timestep,reward
3,4000,-5021.6852
8,8000,-5016.2939
11,12000,-5009.5264
15,16000,-5923.0478
19,20000,-4990.6447
23,24000,-5255.7162
27,28000,-4542.6011
31,32000,-4385.8331
35,36000,-4449.7066
39,40000,-4370.3249
43,44000,-4155.3977
48,48000,-3416.8029
52,52000,-4035.6527
55,56000,-3977.5605
60,60000,-3696.0905
63,64000,-2149.9596
67,68000,-2152.962
71,72000,-2045.5355
75,76000,-2281.6417
79,80000,-2161.9204
83,84000,-1945.98
87,88000,-1745.0901
91,92000,-1914.0583
95,96000,-1755.4149
98,100000,-2176.3769
102,104000,-2342.2844
106,108000,-2407.7593
110,112000,-2241.2457
114,116000,-2152.968
118,120000,-2011.8572
122,124000,-1985.4714
125,128000,-1893.6911
129,132000,-1786.7041
133,136000,-2085.3033
137,140000,-1924.8996
141,144000,-2075.602
145,148000,-2204.289
