episode,timestep,reward
4,4000,-3432.424
8,8000,-3190.9481
12,12000,-3750.9779
15,16000,-4003.8146
19,20000,-3314.2716
23,24000,-3504.3283
28,28000,-3562.2693
32,32000,-2954.8939
35,36000,-4177.8234
39,40000,-3541.7659
43,44000,-2820.3344
47,48000,-3045.4049
51,52000,-2995.3555
55,56000,-2528.718
59,60000,-2974.4593
63,64000,-2591.6491
67,68000,-3339.1605
71,72000,-2547.664
74,76000,-2691.2459
78,80000,-2475.9314
82,84000,-2749.8809
86,88000,-2829.6076
89,92000,-2603.4406
93,96000,-2714.5406
97,100000,-2821.4381
101,104000,-2487.0241
104,108000,-2598.1987
108,112000,-2624.4985
112,116000,-2271.8607
116,120000,-3219.1034
119,124000,-2362.3821
124,128000,-3093.2492
127,132000,-2672.4956
132,136000,-2740.4295
136,140000,-2906.2138
139,144000,-3094.0564
143,148000,-2971.5473
