avg_tasks,mean_completion_time,mean_completion_time,mean_power_consumption,mean_power_consumption2,mean_stored_in_edge,mean_stored_in_cloud,avg_execution_time_sec,avg_congestion_occurrences,avg_collocated_ratio,avg_parallelism_ratio
2,31,31,52.58952982,53.58952982,0.14297394,0.85702606,1.224481821,13.05,0.460065766,1.74932125
3,57,57,54.91397298,54.91397298,0.221410508,0.778589492,1.524521637,28.5,0.60491934,1.918462636
4,68,68,55.67264321,55.67264321,0.192071351,0.807928649,1.549853075,35.25,0.686247374,2.267112066
5,91,91,54.69170555,55.69170555,0.271042539,0.728957461,1.782393301,57.25,0.74283105,2.505184521
6,96,96,56.12790021,57.12790021,0.296265811,0.703734189,1.659384,16.25,0.801763212,3.011212418
7,101,101,60.51562636,59.51562636,0.416516064,0.583483936,1.786321199,11.8,0.801997615,3.341986066
8,104,104,62.32372465,60.32372465,0.354417906,0.645582094,2.001273727,60.1,0.809558388,3.489661143
9,105,105,59.98146035,61.98146035,0.414206189,0.585793811,1.545691943,17.95,0.720482768,4.000465549
10,117,119,63.10688739,64.10688739,0.390339618,0.609660382,1.70572015,15.3,0.709445638,4.263343752
11,118,120,63.42787121,64.42787121,0.428313028,0.571686972,1.855610847,9.8,0.679407346,4.821100757
12,119,129,62.74875674,64.74875674,0.492438825,0.507561175,1.951414824,8.9,0.564673049,4.635372666
13,120,130,67.04440355,66.04440355,0.507487785,0.492512215,1.637164748,0.45,0.669423052,5.509075507
14,129,132,65.86643036,66.86643036,0.417867946,0.582132054,2.079723966,8.2,0.596736724,6.295228088
15,130,143,66.76500887,67.76500887,0.440331208,0.559668792,2.104148901,1.4,0.687714192,6.397148654
16,132,151,70.20598208,68.20598208,0.494140426,0.505859574,1.900400805,1.7,0.761911353,6.998694639
17,133,117,72.31186788,70.31186788,0.416655258,0.583344742,1.914602911,5.05,0.598203007,7.654655306
18,143,118,73.26294913,71.26294913,0.47228389,0.52771611,2.139205086,2.45,0.615767733,6.95368887
19,151,133,74.42889808,76.42889808,0.490463627,0.509536373,2.021894515,9.15,0.542134272,7.497254084
20,151,151,73.55209109,74.55209109,0.644426941,0.355573059,2.206660783,24.8,0.595287665,8.201873148
