avg_tasks,mean_completion_time,mean_completion_time,mean_power_consumption,mean_power_consumption2,mean_stored_in_edge,mean_stored_in_cloud,avg_execution_time_sec,avg_congestion_occurrences,avg_collocated_ratio,avg_parallelism_ratio
2,27,27,28.46060525,27.46060525,0.166790816,0.833209184,0.888741314,1.5,0.357747498,1.668106606
3,43,43,30.3172554,31.3172554,0.190219699,0.809780301,0.828400803,5.45,0.49709863,1.809276464
4,59,59,30.43831096,31.43831096,0.1926402,0.8073598,1.01051029,6.45,0.502801072,2.067638385
5,66,66,31.49791814,31.49791814,0.188497369,0.811502631,0.908355272,19.75,0.589697635,2.356901585
6,74,74,30.50386834,31.50386834,0.232351675,0.767648325,1.028144729,8.85,0.61877438,2.706174036
7,80,81,30.55384298,32.55384298,0.264184512,0.735815488,1.105619061,5.4,0.634150198,3.073957009
8,81,91,33.75325442,33.75325442,0.267726486,0.732273514,1.046112478,28.15,0.704655063,3.129892426
9,81,81,32.01690872,34.01690872,0.268398107,0.731601893,1.019673145,3.3,0.651188935,3.913166842
10,86,80,34.2197443,34.2197443,0.229084655,0.770915345,0.873446667,2.4,0.673220165,4.180645638
11,88,88,37.49089146,35.49089146,0.218007434,0.781992566,1.129602087,5.85,0.61850201,4.698615303
12,88,88,35.23311778,36.23311778,0.192290584,0.807709416,1.191245651,23.35,0.661447835,4.669299584
13,91,94,34.84168294,36.84168294,0.231569155,0.768430845,0.836930859,3.6,0.684103493,5.363944439
14,95,90,36.8644533,36.8644533,0.175035232,0.824964768,1.058310997,5.8,0.736421819,5.931896814
15,96,97,38.56621995,37.56621995,0.165398244,0.834601756,0.914727068,16.55,0.744749575,6.197243561
16,98,116,36.01812033,38.01812033,0.204436838,0.795563162,1.169982338,5.6,0.796638743,6.382976275
17,101,86,36.86518001,38.86518001,0.119497329,0.880502671,0.982418144,9.2,0.736611692,7.514004773
18,107,107,39.98944357,39.98944357,0.232021699,0.767978301,1.198351228,5.75,0.799089455,6.673001928
19,116,91,40.02933506,40.02933506,0.210564546,0.789435454,1.266989315,31.7,0.698848122,6.834949943
20,125,125,39.18080271,40.18080271,0.401472928,0.598527072,1.162531435,2.15,0.693224183,7.395722599
